Location,Price_Period,Date_Added_Updated,Description,Serviced,Bed_Bath_Toilet
Adeniyi Jones Ikeja Lagos,"4,500,000","  Updated 26 Dec 2022, Added 27 May 2022 ", FOR RENT: Just out in the estate off adeniyi jones. 4bedroom duplex no BQ all room en-sui.. Read more ,,0 beds0 baths0 Toilets
Omole Phase 1 Ojodu Lagos,"4,500,000/year","  Updated 26 Dec 2022, Added 26 Apr 2022 ", FOR RENT: 2 wings of 5 bedroom duplex for rent in omole Phase 1. The price is N4.5m for ea.. Read more ,,0 beds0 baths0 Toilets
Off Balogun Road Iju Ishaga Agege Lagos,"1,000,000/year","  Updated 26 Dec 2022, Added 04 Oct 2022 ", FOR RENT: Newly built 2BEDROOM flat @ Balogun iju ishaga Lagos -POP Finishing -All til.. Read more ,,0 beds0 baths0 Toilets
Victoria Island Lagos,"25,000,000/year","  Updated 26 Dec 2022, Added 02 Nov 2022 ", FOR RENT: For Rent Commerical space Located at VI lagos. Space is arranged over 3.. Read more ,,0 beds0 baths0 Toilets
"Alfa Sunny Street Charly Boy , Gbagada Lagos","1,500,000/year","  Updated 26 Dec 2022, Added 23 May 2022 ", FOR RENT: Just Out Note working-class preferably 4 units are available now .. Read more ,,0 beds0 baths0 Toilets
Aqua View Ogudu Lagos,"2,500,000/year","  Updated 26 Dec 2022, Added 13 Jul 2022 ", FOR RENT: A decent spacious 3bedrooms ensuite bathroom flat at Aqua view Ogudu estate N2.5.. Read more ,,0 beds0 baths0 Toilets
Lekki Conservation Center Road Lekki Lagos,"4,000,000/year","  Updated 26 Dec 2022, Added 18 Oct 2022 ", FOR RENT: 3-Bedroom Terrace Duplex Rent: 4Million Agency: 10% Legal: 10% Caut.. Read more ,,0 beds0 baths0 Toilets
Magodo Gra Phase 2 Kosofe Ikosi Lagos,"3,500,000/year","  Updated 26 Dec 2022, Added 27 Jun 2022 ", FOR RENT: JUST OUT 4BEDROOM SEMI DETACHED DUPLEX WITH A GATEHOUSE IN SERENE ENVIRONMENT.. Read more ,,0 beds0 baths0 Toilets
Ikate Lekki Lagos,"2,000,000/year","  Updated 26 Dec 2022, Added 15 Aug 2022 ", FOR RENT: Rent Mini flat Amount 2m Sc200k Caution 200k Agency 10% L.. Read more ,,0 beds0 baths0 Toilets
Omole Phase 1 Ojodu Lagos,"4,500,000/year","  Updated 26 Dec 2022, Added 12 Aug 2022 "," FOR RENT: TO LET Well renovated 4 bedrooms semi detached duplex, all the rooms are ens.. Read more ",,0 beds0 baths0 Toilets
Off Agbe Road Abule Egba Lagos,"1,300,000/year","  Updated 26 Dec 2022, Added 04 Jul 2022 ", FOR RENT: LETTING AT OFF AGBE ROAD ABULE EGBA LAGOS: EXECUTIVE FULLY FURNISHED NEW 2 B.. Read more ,,0 beds0 baths0 Toilets
Obafemi Awolowo Way Ikeja Lagos,"18,000,000/year","  Updated 26 Dec 2022, Added 26 Apr 2022 ", FOR RENT: TO LET FOR CORPORATE USE IN IKEJA A newly built of 4 units of 3 bedroom flats.. Read more ,,0 beds0 baths0 Toilets
Lekki Phase 1 Lekki Lagos,"800,000/year","  Updated 26 Dec 2022, Added 29 Nov 2022 ", FOR RENT: For rent... 10 units of office and shop space on the ground floor and first f.. Read more ,, beds baths Toilets
Megamond Ikota Lekki Lagos,"4,000,000/year","  Updated 26 Dec 2022, Added 14 Dec 2022 ", FOR RENT: Neatly used 4bedroom semi detached duplex with bq Very lovely secured estate .. Read more ,,4 beds4 baths5 Toilets
Eleko Ibeju Lekki Lagos,"15,000/sqm","  Updated 26 Dec 2022, Added 12 Oct 2022 "," FOR RENT: Warehouse for rent 15,000 per square metres .. Read more ",Serviced,0 beds0 baths0 Toilets
Lekki Phase 1 Lekki Lagos,"6,000,000/year","  Updated 26 Dec 2022, Added 29 Nov 2022 ", FOR RENT: For rent.. 2 units shop space for rent 40sqm and 30sqm.. Location:lekki.. Read more ,, beds baths Toilets
Off Gbangbala Road. Ikate Lekki Lagos,"70,000,000","  Updated 19 Feb 2023, Added 12 Dec 2022 "," FOR SALE: THE CELLO Luxury 2 Bedroom Apartments with a Room BQ, Rooftop Lounge and Gymnas.. Read more",,2 beds2 baths3 Toilets
Ajah Lagos,"5,000,000/year","  Updated 26 Dec 2022, Added 20 Oct 2022 ", FOR RENT: 4-Bedroom Fully Detached Duplex Rent: 5Million Agency: 10% Legal: 10% .. Read more ,,0 beds0 baths0 Toilets
Lekki Phase 1 Lekki Lagos,"2,000,000/year","  Updated 26 Dec 2022, Added 26 Nov 2022 ", FOR RENT: For rent... A shop space for rent 2m per Annum service charge 250k excluding.. Read more ,, beds baths Toilets
Osapa London Lekki Lagos,"5,000,000/year","  Updated 26 Dec 2022, Added 23 Dec 2022 ", FOR RENT: For rent.. Newly Built 4 Bedroom Semi Detached House With A Room BQ. Rent.. Read more ,Newly Built,4 beds0 baths0 Toilets
Lekki Phase 1 Lekki Lagos,"30,000,000/year","  Updated 26 Dec 2022, Added 19 Aug 2022 "," FOR RENT: Semi brief Tastefully furnished 10 Bedroom Mansion With Reception, Bar, Re.. Read more ",,0 beds0 baths0 Toilets
Chisco Ikate Lekki Lagos,"70,000/sqm","  Updated 26 Dec 2022, Added 17 Jun 2022 ", FOR RENT: For rent Shop space Rent 70k per square meter Sc: 5k per square met.. Read more ,,0 beds0 baths0 Toilets
Medina Gbagada Lagos,"800,000","  Updated 26 Dec 2022, Added 29 Apr 2022 ", FOR RENT: 2 number of mini flat at Medina Estate gbagada 800k 2 year ren.. Read more ,,0 beds0 baths0 Toilets
Oregun Ikeja Lagos,"500,000/year","  Updated 26 Dec 2022, Added 19 Jul 2022 ", FOR RENT: Direct Briefs To Let An open plan Office Space of 112sqm and 40sqm both o.. Read more ,,0 beds0 baths0 Toilets
Omole Phase 2 Ojodu Lagos,"1,000,000/year","  Updated 26 Dec 2022, Added 17 Aug 2022 ", FOR RENT: Furnished Self-contained room bq with private entrance in Magodo Omole Phase 2. .. Read more ,,0 beds0 baths0 Toilets
Agege Lagos,"50,000,000/year","  Updated 26 Dec 2022, Added 04 Nov 2022 ", FOR RENT: FOR LEASE... A mega filling station with 10units of double nozzle dispensin.. Read more ,,0 beds0 baths0 Toilets
Lekki Phase 1 Lekki Lagos,"3,500,000/year","  Updated 26 Dec 2022, Added 16 Aug 2022 ", FOR RENT: Lease Land Amount 3.5m ( landlord needs a client for 3 years) Legal.. Read more ,,0 beds0 baths0 Toilets
River Valley Estate Ojodu Lagos,"1,500,000/year","  Updated 26 Dec 2022, Added 26 May 2022 ", FOR RENT: To let Newly built 2bedroom flat all room ensuite pop finish at River valley .. Read more ,,0 beds0 baths0 Toilets
Fako Estate Oke Ira Ogba Lagos,"350,000/year","  Updated 26 Dec 2022, Added 11 Nov 2022 ", FOR RENT: Flat / Apartment for rent Fako Estate Oke-Ira Ogba Lagos.. Read more ,,0 beds0 baths0 Toilets
Off Karimu Kotun Victoria Island Lagos,"15,000,000/year","  Updated 26 Dec 2022, Added 26 Apr 2022 ", FOR RENT: Luxury 4 bedroom town house with a room bq off karimu kotun in Victoria island f.. Read more ,,0 beds0 baths0 Toilets
Victoria Island Lagos,"45,000/sqm","  Updated 26 Dec 2022, Added 01 Dec 2022 ", FOR RENT: For rent... Premium office space available for immediate occupation at a st.. Read more ,,0 beds0 baths0 Toilets
Oke Afa Isolo Lagos,"350,000/year","  Updated 26 Dec 2022, Added 03 Aug 2022 ", FOR RENT: Standard room self contained .. Read more ,,0 beds0 baths0 Toilets
Off Bisola Durosinmi Etti Lekki Phase 1 Lekki Lagos,"2,600,000/year","  Updated 26 Dec 2022, Added 29 Nov 2022 ", FOR RENT: For rent.. 2 Rooms office space with toilet and Kitchen . 2.6m per Annum.. Read more ,, beds baths Toilets
Ikate Lekki Lagos,"2,000,000/year","  Updated 26 Dec 2022, Added 05 Oct 2022 ", FOR RENT: Rent Mini flat Amount 2m Sc 500k Caution 100k Agency 10% .. Read more ,,0 beds0 baths0 Toilets
New Garage Gbagada Lagos,"800,000/year","  Updated 26 Dec 2022, Added 23 May 2022 ", FOR RENT: Just Out Newly Build 3 units of mini flat downstairs 2toilet 1bathroom with .. Read more ,,0 beds0 baths0 Toilets
Magodo Gra Phase 2 Kosofe Ikosi Lagos,"3,500,000/year","  Updated 26 Dec 2022, Added 27 Jun 2022 ", FOR RENT: TO LET 4BEDROOM SEMI DETACHED DUPLEX ALL ROOM ENSUITE WITH A BQ SHARED COMPOUND .. Read more ,,0 beds0 baths0 Toilets
Ikota Gra Ikota Lekki Lagos,"4,500,000/year","  Updated 23 Dec 2022, Added 14 Dec 2022 "," FOR RENT: 4 Bedroom Fully Detached Duplex With A Room BQ For Rent Price: N4,500,000 Caut.. Read more ",Newly Built,4 beds4 baths5 Toilets
Lekki Lagos,"250,000,000","  Updated 20 Feb 2023, Added 09 Dec 2022 ", FOR SALE: DISTRESS QUICK SALE Luxury 4 Bedroom Semi Detached Duplex + BQ + Swimming po.. Read more,Newly Built,4 beds4 baths5 Toilets
"Lekki Palms City, Addo, Ajah Ado Ajah Lagos","3,000,000/year",  Added 22 Dec 2022 , FOR RENT: Fully equipped 4 bedroom terraced duplex Corner piece .. Read more ,ServicedNewly Built,4 beds4 baths0 Toilets
Ligali Ayorinde Victoria Island Lagos,"18,000,000/year",  Added 22 Dec 2022 , FOR RENT: Massive Built 5bedrooms Fully Detached duplex with 2Rooms BQ For Rent Note: .. Read more ,,0 beds0 baths0 Toilets
Estate Idado Lekki Lagos,"2,000,000/year",  Added 22 Dec 2022 , FOR RENT: One-bedroom apartment. Idado estate. Lekki. By Dominion pizza agungi. Rent 2 mil.. Read more ,,0 beds0 baths0 Toilets
Off Masha Surulere Lagos Masha Surulere Lagos,"2,500,000/year","  Updated 22 Dec 2022, Added 12 Nov 2022 ", FOR RENT: Spacious 4bedroom flat ground floor office space for rent in Surulere with wate.. Read more ,,4 beds3 baths3 Toilets
Parkview Estate Ikoyi Lagos,"15,000,000/year","  Updated 22 Dec 2022, Added 12 Nov 2022 ", FOR RENT: FOR LEASE - CORPORATE TENANTS ONLY 11 units of fully furnished apartments .. Read more ,,0 beds0 baths0 Toilets
"Victorious Estate, Megida, Ayobo Ipaja Lagos","800,000/year",  Added 21 Dec 2022 , FOR RENT: HOT LETTINGS IN AN ESTATE A well-built & spacious 4Bedroom flat self-compound.. Read more ,,4 beds5 baths5 Toilets
Banana Island Ikoyi Lagos,"12,000,000/year",  Added 21 Dec 2022 , FOR RENT: LETTTING BANANA ISLAND IKOYI JUST OUT SUPER LUXURIOUS 2 units of 3 Bedroom Wate.. Read more ,,0 beds0 baths0 Toilets
Ikate Lekki Lagos,"6,000,000/year",  Added 21 Dec 2022 , FOR RENT: TO LET 1) Three (3) bedroom duplex with boys quarters in an estate at Ikate-E.. Read more ,,0 beds0 baths0 Toilets
Ikate Lekki Lagos,"13,000,000/year",  Added 21 Dec 2022 , FOR RENT: 5 bedroom semi-detached duplex in a secured estate ikate Annual rent N13m .. Read more ,,0 beds0 baths0 Toilets
Ikate Lekki Lagos,"4,500,000/year",  Added 21 Dec 2022 , FOR RENT: FOR RENT Ikate Lekki Brand new Fully serviced Apartments 1bedroom: 2.3M 2.. Read more ,,0 beds0 baths0 Toilets
Osapa London Lekki Lagos,"2,000,000/year",  Added 21 Dec 2022 , FOR RENT: For Letting Executive Mini Flat OSApa London Lekki 2m rent.. Read more ,,0 beds0 baths0 Toilets
Lekki Lagos,"1,800,000/year",  Added 21 Dec 2022 ," FOR RENT: Serviced Room & parlour miniflat at Lekki Gardens estate, Chevron Alternative ro.. Read more ",,0 beds0 baths0 Toilets
Agungi Lekki Lagos,"1,800,000/year",  Added 21 Dec 2022 , FOR RENT: Mini flat available for rent in Agungi Annual rent 1.8m Agency 10% Legal 10% .. Read more ,,0 beds0 baths0 Toilets
Ikoyi Lagos,"6,500,000/year",  Added 21 Dec 2022 ," FOR RENT: FOR RENT - IKOYI Cy.... 4 units of 3 bed apartment for rent, Owner wants only.. Read more ",,0 beds0 baths0 Toilets
Agungi Lekki Lagos,"4,000,000/year",  Added 21 Dec 2022 , FOR RENT: Agungi Letting Three bedroom Semi detached duplexes with BQ in an Estate Agungi.. Read more ,,0 beds0 baths0 Toilets
Oke Ira Ogba Lagos,"1,500,000/year",  Added 21 Dec 2022 , FOR RENT: To let 2bedroom apartment downstairs. off Ajayi road oke ira ogba with p o.. Read more ,,0 beds0 baths0 Toilets
Ikeja Gra Ikeja Lagos,"30,000,000/year",  Added 21 Dec 2022 , FOR RENT: PROPERTY FOR LEASE AT IKEJA GRA : Super massive 5 bedroom detached house with .. Read more ,,0 beds0 baths0 Toilets
Ikeja Gra Ikeja Lagos,"5,500,000/year","  Updated 21 Dec 2022, Added 03 Jun 2022 ", FOR RENT: 4 Bedroom Terrace Duplex wit Swimming Pool & a Room Bq in GRA ikeja Price…5.5m .. Read more ,,0 beds0 baths0 Toilets
Parkview Estate Ikoyi Lagos,"6,500,000/year","  Updated 21 Dec 2022, Added 06 May 2022 ", FOR RENT: PARKVIEW IKOYI APARTMENTS FOR ?EASE:- Just Vacant 4 Units Of 3 B.. Read more ,,0 beds0 baths0 Toilets
Lekki Phase 1 Lekki Lagos,"12,000,000/year","  Updated 21 Dec 2022, Added 25 Jul 2022 ", FOR RENT: Massive Spacious 6bedrooms Fully detached house with BQ Generator For Rent .. Read more ,,0 beds0 baths0 Toilets
Banana Island Ikoyi Lagos,"150,000,000","  Updated 20 Feb 2023, Added 12 Dec 2022 "," FOR SALE: FOR SALE: LOCATION: BANANA ISLAND ESTATE, IKOYI, LAGOS. FULLY FURNISHED 2 .. Read more",ServicedFurnished,2 beds2 baths3 Toilets
Ikeja Gra Ikeja Lagos,"7,000,000/year","  Updated 21 Dec 2022, Added 14 Jul 2022 ", FOR RENT: Brand New 3 Bedroom terrace duplex with a Room Bq each. Price…7m per unit Serv.. Read more ,,0 beds0 baths0 Toilets
Ikeja Gra Ikeja Lagos,"8,000,000/year","  Updated 21 Dec 2022, Added 14 Jul 2022 "," FOR RENT: 5 Bedroom Semi Detached Duplex with 2 Rooms BQ, Gen House & Security House. SEL.. Read more ",,0 beds0 baths0 Toilets
Ikeja Gra Ikeja Lagos,"5,000,000/year","  Updated 21 Dec 2022, Added 23 Jun 2022 "," FOR RENT: 35 SQM Fully Fully Furnished & Service Office Space in GRA ikeja with WiFi, Inte.. Read more ",,0 beds0 baths0 Toilets
Ikeja Gra Ikeja Lagos,"8,000,000/year","  Updated 21 Dec 2022, Added 14 Jul 2022 ", FOR RENT: Fresh and Beautiful Fully Furnished 2 Bedroom Terrace Duplex in GRA ikeja. Pric.. Read more ,,0 beds0 baths0 Toilets
Ikeja Lagos,"70,000/sqm","  Updated 21 Dec 2022, Added 23 Jun 2022 "," FOR RENT: Newly built 290 SQM serviced Open plan Office Space on 4 floors with Ac, elevat.. Read more ",,0 beds0 baths0 Toilets
Ikeja Gra Ikeja Lagos,"15,000,000/year","  Updated 21 Dec 2022, Added 23 Jun 2022 ", FOR RENT: Fully Furnished 20 - 30 Staffs Office Duplex in GRA ikeja with well Equipped Ev.. Read more ,,0 beds0 baths0 Toilets
Ikeja Gra Ikeja Lagos,"10,000,000/year","  Updated 21 Dec 2022, Added 14 Jul 2022 ", FOR RENT: Beautiful Spacious Fully Furnished 3 Bedroom Flat in GRA ikeja. Price…10m per a.. Read more ,,0 beds0 baths0 Toilets
Ikoyi Lagos,"15,000,000/year","  Updated 21 Dec 2022, Added 18 Jul 2022 "," FOR RENT: FOR LONG LEASE IN IKOYI: 800m2 & 1,250m2 parcels of land on Reeve Road (off G.. Read more ",,0 beds0 baths0 Toilets
Ikeja Gra Ikeja Lagos,"12,000,000","  Updated 21 Dec 2022, Added 29 Apr 2022 "," FOR RENT: _ 5 Bedroom Fully Detached Duplex with a Room Bq, Gym & Swimming pool. Located i.. Read more ",,0 beds0 baths0 Toilets
Victoria Island Lagos,"80,000/sqm","  Updated 21 Dec 2022, Added 19 May 2022 ", FOR RENT: OFFICE SPACE FOR RENT IN VCTORIA ISLAND CY connect Superlative corporate offi.. Read more ,,0 beds0 baths0 Toilets
Lekki Phase 1 Lekki Lagos,"7,000,000/year","  Updated 21 Dec 2022, Added 27 Oct 2022 "," FOR RENT: TO LET @ LEKKI PHASE 1, LAGOS STATE: Lanre olaitan...... DESCRIPTION: Newly .. Read more ",,0 beds0 baths0 Toilets
Oniru Victoria Island Lagos,"100,000/sqm","  Updated 21 Dec 2022, Added 17 Jun 2022 ", FOR RENT: Brand Newly Built Fully Serviced Conducive Office Space on 6 Floors on a Busy Ro.. Read more ,,0 beds0 baths0 Toilets
Chevron Lekki Lagos,"1,500,000/year","  Updated 21 Dec 2022, Added 09 Nov 2022 ", FOR RENT: Direct Instruction 6 units of brand new 3 bedroom flat wit visitors toilets for.. Read more ,,0 beds0 baths0 Toilets
Oniru Victoria Island Lagos,"5,000,000/year","  Updated 21 Dec 2022, Added 02 Jun 2022 "," FOR RENT: To let 3 UNITS Luxury serviced 3 Bedroom Apartment, all rooms ensuite, fu.. Read more ",,0 beds0 baths0 Toilets
Lekki Phase 1 Lekki Lagos,"4,500,000/year","  Updated 21 Dec 2022, Added 12 Oct 2022 ", FOR RENT: Fully Serviced Spacious 3-bedroom apartment Upstairs with BQ For Rent Rent 4... Read more ,,0 beds0 baths0 Toilets
Igbo Efon Lekki Lagos,"3,000,000/year","  Updated 21 Dec 2022, Added 22 Jun 2022 ", FOR RENT: Brand Newly Built Shops and Offices on 3 Floors measuring 20 SQM approximately a.. Read more ,,0 beds0 baths0 Toilets
Ologolo Lekki Lagos,"6,000,000/year","  Updated 21 Dec 2022, Added 23 Oct 2022 ", FOR RENT: 4 Bedroom Semi Detached Duplex with Bq Rent: N6m yearly Agency: 10% Legal.. Read more ,,0 beds0 baths0 Toilets
Ogba Lagos,"8,500,000/year","  Updated 21 Dec 2022, Added 21 Sep 2022 ", FOR RENT: For Sale 9 metres Shop Space Ogba Shopping Centre Retail Market Ogba Shopping Ce.. Read more ,,0 beds0 baths0 Toilets
Ikeja Gra Ikeja Lagos,"20,000,000/year","  Updated 21 Dec 2022, Added 23 May 2022 ", FOR RENT: Massive Opens Space Bungalow of about 280 Sqm internal Lettable space and 1000 S.. Read more ,,0 beds0 baths0 Toilets
Parkview Estate Ikoyi Lagos,"5,500,000/year","  Updated 21 Dec 2022, Added 10 Jun 2022 "," FOR RENT: Luxury Fully Serviced Spacious 4 Units of 3bedrooms Flat with Swimming Pool, Gym.. Read more ",,0 beds0 baths0 Toilets
Awuse Estate Opebi Ikeja Lagos,"450,000,000","  Updated 19 Feb 2023, Added 02 Aug 2022 "," FOR SALE: Direct brief 1acres (6)plot of land for sale, located at Awuse Estate Opebi Ike.. Read more",,0 beds0 baths0 Toilets
Adeola Odeku Victoria Island Lagos,"12,000,000/year","  Updated 21 Dec 2022, Added 22 Jun 2022 ", FOR RENT: A mini-estate comprising of multiple 3 bedroom grade A serviced apartments; enj.. Read more ,,0 beds0 baths0 Toilets
Chevy View Estate Chevron Lekki Lagos,"2,500,000/year","  Updated 21 Dec 2022, Added 17 Jun 2022 ", FOR RENT: Luxury Fully FURNISHED One bedroom (Room & Parlour self contain) with separate k.. Read more ,,0 beds0 baths0 Toilets
Lekki Lagos,"4,500,000/year","  Updated 21 Dec 2022, Added 13 Oct 2022 ", FOR RENT: Executive Spacious Well Built 4 bedroom Semi detached duplex with BQ & Gatehouse.. Read more ,,0 beds0 baths0 Toilets
Lekki Lagos,"2,500,000/year","  Updated 21 Dec 2022, Added 29 Nov 2022 ", FOR RENT: Serviced Mini Flat Suitable for Airbnb/Regular Rent in Lekki 24 Hours Power .. Read more ,,0 beds0 baths0 Toilets
Lekki Phase 1 Lekki Lagos,"5,000,000/year","  Updated 21 Dec 2022, Added 22 Jun 2022 ", FOR RENT: EXECUTIVE 2 BEDROOM FLAT IN LEKKI PHASE ONE Executive and luxuriously finishe.. Read more ,,0 beds0 baths0 Toilets
Ologolo Lekki Lagos,"2,000,000/year","  Updated 21 Dec 2022, Added 12 Oct 2022 ", FOR RENT: Beautiful Spacious 2-bedroom duplex with AC available For Rent Rent: 2M Per a.. Read more ,,0 beds0 baths0 Toilets
Victoria Island Lagos,"120,000/sqm","  Updated 21 Dec 2022, Added 06 May 2022 "," FOR RENT: Exclusive 283 Sqm Òf Office Space With Excellent Glass Partitions Cabins, Open H.. Read more ",,0 beds0 baths0 Toilets
"Off Adeola Odeku, Victoria Island Lagos","12,000,000/year","  Updated 21 Dec 2022, Added 28 Apr 2022 ", FOR RENT: A mini-estate comprising of multiple 3 bedroom grade A serviced apartments; enj.. Read more ,,0 beds0 baths0 Toilets
Ilaje Ajah Lagos,"2,000,000/year","  Updated 21 Dec 2022, Added 21 Jun 2022 ", FOR RENT: Brand Newly Built Luxury 2bedrooms apartment For Rent Location: Mini Estate Ila.. Read more ,,0 beds0 baths0 Toilets
Oniru Estate Victoria Island Lagos,"7,000,000/year","  Updated 21 Dec 2022, Added 28 Apr 2022 ", FOR RENT: 3 bedroom luxury apartments at oniru estate Victoria island. Rent #7 millio.. Read more ,,0 beds0 baths0 Toilets
Sabo Yaba Lagos,"900,000/year","  Updated 21 Dec 2022, Added 06 Dec 2022 ", FOR RENT: Direct to the mandate Mini flat at Montgomery Sabo Yaba Lagos with two toilet t.. Read more ,,0 beds0 baths0 Toilets
Ikota Lekki Lagos,"4,000,000/year","  Updated 21 Dec 2022, Added 10 Jun 2022 "," FOR RENT: Fully Serviced 24hrs Light 4bedrooms Semi detached duplex with Swimming Pool,Gym.. Read more ",,0 beds0 baths0 Toilets
Bourdillon Ikoyi Lagos,"8,000,000/year","  Updated 21 Dec 2022, Added 04 Jul 2022 "," FOR RENT: Luxury Fully Serviced 3bedrooms apartment with Swimming Pool, Basketball, Tennis.. Read more ",,0 beds0 baths0 Toilets
Osapa London Lekki Lagos,"2,800,000/year","  Updated 21 Dec 2022, Added 23 Oct 2022 ", FOR RENT: DIRECT HOUSE TO LET AT OSAPA LONDON 2-units of Service 2-bedroom flat with fi.. Read more ,,0 beds0 baths0 Toilets
Oniru Victoria Island Lagos,"15,000,000/year","  Updated 21 Dec 2022, Added 25 Apr 2022 ", FOR RENT: For Rent Four (4) bedroom luxury detached duplexes Michael Location: Oniru .. Read more ,,0 beds0 baths0 Toilets
Ikate Lekki Lagos,"2,500,000/year","  Updated 21 Dec 2022, Added 30 Jun 2022 ", FOR RENT: Fully Serviced Luxury 24hrs Light 1Bedroom(Room & Parlour) apartment For Rent .. Read more ,,0 beds0 baths0 Toilets
Ikeja Gra Ikeja Lagos,"10,000,000","  Updated 21 Dec 2022, Added 29 Apr 2022 ", FOR RENT: _ Luxuriously Masterpiece 3 Bedroom fully service Apartment with a Room Bq each... Read more ,,0 beds0 baths0 Toilets
Ogudu Lagos,"4,500,000/year","  Updated 21 Dec 2022, Added 13 Oct 2022 ", FOR RENT: FOR RENT DESCRIPTION: 9 Units Newly Built Terrace House with In-Built Boy’s Qu.. Read more ,,0 beds0 baths0 Toilets
"Megamound Estate Lekki County Homes, Ikota Lekki Lagos","2,000,000/year","  Updated 21 Dec 2022, Added 14 Sep 2022 ", FOR RENT: STANDARD ROOM SELF-CONTAINED AND MINI FLAT IN A SECURED ESTATE FOR RENT: Loca.. Read more ,,0 beds0 baths0 Toilets
Ikeja Gra Ikeja Lagos,"8,000,000/year","  Updated 21 Dec 2022, Added 14 Jul 2022 ", FOR RENT: Nicely Renovated 4 Bedroom fully Detached Duplex with a Room Bq Located in GRA i.. Read more ,,0 beds0 baths0 Toilets
