Location,Price_Period,Date_Added_Updated,Description,Serviced,Bed_Bath_Toilet
Ikota Lekki Lagos,"4,500,000/year","  Updated 18 Feb 2023, Added 23 Jan 2023 ", FOR RENT: Nicely Built 4 Bedroom Semi-Detached Duplex Location: Ikota Rent: N4.5mi.. Read more ,,4 beds4 baths5 Toilets
Chevron Lekki Lagos,"5,500,000/year","  Updated 18 Feb 2023, Added 11 Jan 2023 ", FOR RENT: THIS IS WHAT WE CALL JOMBO SIZE MASSIVE 4 BEDROOM FULLY DETACHED DUPLEX FOR R.. Read more ,Newly Built,4 beds5 baths5 Toilets
Chevron Lekki Lagos,"7,000,000/year","  Updated 18 Feb 2023, Added 07 Feb 2023 ", FOR RENT: 5 Bedroom Apartment For Sale. ——————————————————— DETAILS >>>> Chevron N7M .. Read more ,Newly Built,5 beds6 baths6 Toilets
Chevron Lekki Lagos,"3,000,000/year","  Updated 18 Feb 2023, Added 25 Jan 2023 ", FOR RENT: FOR RENT !!! 3 BEDROOM SELF SERVICED APARTMENT FOR RENT !!! Location: Chevro.. Read more ,,3 beds4 baths4 Toilets
Thera Peace Zone Estate Sangotedo Ajah Lagos,"2,000,000/year",  Added 17 Feb 2023 , FOR RENT: Available Now! SARAH'S PARADISE APARTMENT Impeccable Brand New 2 Bedroom Fu.. Read more,FurnishedServicedNewly Built,2 beds2 baths3 Toilets
Banana Island Road Ikoyi Lagos,"10,000,000/year","  Updated 18 Feb 2023, Added 11 Feb 2023 "," FOR RENT: FULLY FURNISHED 3 BEDROOM APARTMENT FOR RENT !!! Location: Banana Island, Lag.. Read more ",FurnishedServicedNewly Built,3 beds4 baths4 Toilets
Banana Island Ikoyi Lagos,"14,000,000/year","  Updated 18 Feb 2023, Added 14 Feb 2023 "," FOR RENT: 3 BEDROOM PENTHOUSE FOR RENT!!! Location: Banana Island, Lagos Rent: 14m pe.. Read more ",Serviced,3 beds4 baths4 Toilets
Chevron Lekki Lagos,"4,000,000/year","  Updated 18 Feb 2023, Added 27 Jan 2023 ", FOR RENT: TO LET Beautifully built and Spacious 3 bedroom maisonette. Rent:N4M Agen.. Read more ,ServicedNewly Built,0 beds4 baths4 Toilets
Ikate Lekki Lagos,"6,500,000/year","  Updated 18 Feb 2023, Added 02 Feb 2023 ", FOR RENT: FOR RENT!!! 3 BEDROOM SERVICED APARTMENT WITH BQ FOR RENT!!! Location: Ikate.. Read more ,ServicedNewly Built,3 beds4 baths4 Toilets
Osapa London Lekki Lagos,"6,500,000/year","  Updated 18 Feb 2023, Added 06 Jan 2023 ", FOR RENT: To Let?? Beautiful Built 4 Bedroom Semi Detached Duplex on two floors with op.. Read more ,Newly Built,4 beds5 baths5 Toilets
"Ocean Bay,orchid Road Lekki Lagos","5,000,000/year","  Updated 18 Feb 2023, Added 08 Feb 2023 ", FOR RENT: SPACIOUS 4 BEDROOM SEMI DETACHED DUPLEX WITH BQ WITHIN A ESTATE A SERVICED ESTA.. Read more ,Serviced,4 beds4 baths5 Toilets
Osborne Phase Ii Ikoyi Lagos,"7,000,000/year","  Updated 18 Feb 2023, Added 15 Jan 2023 "," FOR RENT: Spacious 3 Bedroom flat with a bq; Location: Osborne Phase II, Ikoyi Rent:.. Read more ",Serviced,3 beds3 baths4 Toilets
Old Ikoyi Ikoyi Lagos,"15,000,000/year","  Updated 18 Feb 2023, Added 06 Jan 2023 "," FOR RENT: 3 BEDROOM TERRACE DUPLEX FOR RENT Rent: N15m, per annum Other charges: -.. Read more ",ServicedNewly Built,3 beds4 baths4 Toilets
Osapa London Lekki Lagos,"7,500,000/year","  Updated 18 Feb 2023, Added 08 Jan 2023 ", FOR RENT: FURNISHED 4-BEDROOM TERRACE DUPLEX FOR RENT Price: 7.5m per annum Other Ch.. Read more ,ServicedNewly Built,4 beds5 baths5 Toilets
Banana Island Ikoyi Lagos,"1,500,000,000","  Updated 15 Feb 2023, Added 20 Nov 2022 ", FOR SALE: DIRECT INSTRUCTION FROM THE OWNER FOR SALE: NEWLY BUILT 5 BEDROOM FULLY D.. Read more,Newly Built,5 beds5 baths6 Toilets
Lekki Lagos,"8,000,000/year","  Updated 18 Feb 2023, Added 02 Feb 2023 "," FOR RENT: 4 Bedroom Semi-Detached Duplex for Rent 4 Bed, 4 Baths Lekki Phase 1, Lagos.. Read more ",,4 beds5 baths5 Toilets
Ikota Lekki Lagos,"5,000,000/year","  Updated 18 Feb 2023, Added 06 Jan 2023 "," FOR RENT: 4 BEDROOM SEMI DETACHED DUPLEX FOR RENT Rent: 5M, per annum Other charges.. Read more ",Newly Built,4 beds5 baths5 Toilets
Banana Island Ikoyi Lagos,"25,000,000/year","  Updated 18 Feb 2023, Added 03 Feb 2023 "," FOR RENT: 4 BEDROOM SEMI DETACHED DUPLEX FOR RENT!!! Location: Banana Island, Lagos R.. Read more ",ServicedNewly Built,4 beds5 baths5 Toilets
Ologolo Lekki Lagos,"5,000,000/year","  Updated 18 Feb 2023, Added 26 Jan 2023 "," FOR RENT: 4 Bedroom Semi-Detached Duplex for Rent 4 Bedroom, 4 Baths Ologolo, Lekki, .. Read more ",Newly Built,4 beds5 baths5 Toilets
Ikate Lekki Lagos,"9,000,000/year","  Updated 18 Feb 2023, Added 03 Feb 2023 ", FOR RENT: FOR RENT !!! 4 BEDROOM SEMI-DETACHED DUPLEX WITH BQ FOR RENT !!! Location: I.. Read more ,,4 beds5 baths5 Toilets
Parkview Estate Ikoyi Lagos,"12,000,000/year","  Updated 18 Feb 2023, Added 06 Feb 2023 "," FOR RENT: 4 BEDROOM | IKOYI | N12,000,000 Location: Parkview Estate, Ikoyi This bra.. Read more ",ServicedNewly Built,4 beds5 baths5 Toilets
Ikota Lekki Lagos,"4,000,000/year","  Updated 18 Feb 2023, Added 09 Jan 2023 "," FOR RENT: 4 Bedroom Terrace Duplex for Rent — 4 Bed, 4 Baths Ikota, Lekki, Lagos .. Read more ",ServicedNewly Built,4 beds5 baths5 Toilets
Just By Salem Ikate Lekki Lagos,"6,500,000","  Updated 18 Feb 2023, Added 07 Feb 2023 "," FOR RENT: 4-BEDROOM TERRACED DUPLEX IN IKATE Location - Ikate, Lekki Listing Price - 6.. Read more ",FurnishedNewly Built,4 beds5 baths5 Toilets
Ikeja Lagos,"12,000,000/year","  Updated 18 Feb 2023, Added 10 Feb 2023 ", FOR RENT: FOR LEASE Office space Location: off Awolowo road .. Read more ,,0 beds0 baths0 Toilets
Ikate Lekki Lagos,"5,000,000/year","  Updated 18 Feb 2023, Added 10 Feb 2023 ", FOR RENT: 2 bedroom Flat / Apartment for rent Ikate Lekki Lagos.. Read more ,FurnishedServicedNewly Built,2 beds2 baths3 Toilets
Off Banana Island Road Ikoyi Lagos,"18,000,000/year","  Updated 18 Feb 2023, Added 15 Dec 2022 ", FOR RENT: Spacious 5-bedroom semi-detached duplex with a bq N18M (2 years advance requ.. Read more ,Serviced,5 beds6 baths6 Toilets
Ikota Lekki Lagos,"3,000,000","  Updated 14 Feb 2023, Added 20 Dec 2022 ", FOR RENT: Newly built 3 bedroom terrace duplex in a new serviced estate by VGC. It is full.. Read more,ServicedNewly Built,3 beds3 baths4 Toilets
Agungi Lekki Lagos,"3,000,000/year","  Updated 18 Feb 2023, Added 15 Feb 2023 "," FOR RENT: 2 Bedroom Apartment for Rent Agungi, Lekki N 3 Million Other charges: .. Read more ",ServicedNewly Built,2 beds3 baths3 Toilets
Off Gerard Ikoyi Lagos,"5,000,000/year","  Updated 18 Feb 2023, Added 13 Feb 2023 ", FOR RENT: SPACIOUS 3 BEDROOM FLAT WITH BQ IN A MINI ESTATE Location: Ikoyi Lagos Price:.. Read more ,,3 beds3 baths4 Toilets
Banana Island Ikoyi Lagos,"30,000,000/year","  Updated 18 Feb 2023, Added 24 Nov 2022 ", FOR RENT: 8 Units of Serviced 4 Bedroom Semi Detached Houses 30m per unit. Service.. Read more ,ServicedNewly Built,4 beds5 baths5 Toilets
Ikota Lekki Lagos,"7,500,000/year","  Updated 18 Feb 2023, Added 06 Jan 2023 ", FOR RENT: 5-BEDROOM DETACHED DUPLEX FOR RENT Price: 7.5m per annum Other Charges : .. Read more ,Newly Built,5 beds5 baths6 Toilets
Old Ikoyi Ikoyi Lagos,"20,000,000/year","  Updated 18 Feb 2023, Added 22 Nov 2022 ", FOR RENT: *Fully fitted 4 bedroom Terrace with BQ available & Fully fitted 3 bedroom maiso.. Read more ,ServicedNewly Built,4 beds5 baths5 Toilets
Oniru Victoria Island Lagos,"15,000,000/year","  Updated 18 Feb 2023, Added 13 Feb 2023 ", FOR RENT: TO LET 4BEDROOM SEMI DETACHED DUPLEX ............................ PRICE: 15m.. Read more ,Serviced,4 beds5 baths5 Toilets
Chevron Toll Gate Chevron Lekki Lagos,"4,500,000/year","  Updated 18 Feb 2023, Added 15 Dec 2022 "," FOR RENT: 4 Bedroom Semi-Detached Duplex for Rent — 4 Bed, 4 Baths Orchid, Lekki, L.. Read more ",ServicedNewly Built,4 beds5 baths5 Toilets
By Chevron Tollgate Lekki Lagos,"7,000,000/year","  Updated 18 Feb 2023, Added 23 Jan 2023 ", FOR RENT: FOR RENT/5BEDROOM/7M/BY CHEVRON TOLLGATE GIGANTIC 5 BEDROOM DETACHED DUPLEX .. Read more ,Newly Built,5 beds5 baths6 Toilets
Chevron Lekki Lagos,"5,000,000/year","  Updated 18 Feb 2023, Added 12 Jan 2023 "," FOR RENT: 4 Bedroom Semi-Detached Duplex for Rent 4 Bed, 4 Baths 2nd Toll Gate, Lekki,.. Read more ",Newly Built,4 beds5 baths5 Toilets
Magodo Gra Phase 2 Kosofe/ikosi Lagos,"158,000,000","  Updated 19 Feb 2023, Added 19 Sep 2022 ", FOR SALE: TASTEFULLY FINISHED 5 BEDROOM FULLY DETACHED DUPLEX I IN A COZY ESTATE MAGOD.. Read more,,0 beds0 baths0 Toilets
Chevron Lekki Lagos,"5,000,000/year","  Updated 18 Feb 2023, Added 09 Jan 2023 "," FOR RENT: 4 Bedroom Semi-Detached Duplex for Rent — 4 Bed, 4 Baths Chevron, Lekki, L.. Read more ",Newly Built,4 beds5 baths5 Toilets
Eko Atlantic Victoria Island Lagos,"26,000,000/year","  Updated 18 Feb 2023, Added 09 Feb 2023 ", FOR RENT: FURNISHED 3-BEDROOM APARTMENT IN EKO ATLANTIC CITY FOR RENT Location: Eko Atl.. Read more ,FurnishedNewly Built,3 beds4 baths4 Toilets
Off Nike Art Gallery Lekki Lagos,"10,000,000/year","  Updated 18 Feb 2023, Added 26 Jan 2023 "," FOR RENT: 4 BEDROOM TERRACE DUPLEX FOR RENT !!! Location: Ikate, Lagos Price: 10m per .. Read more ",ServicedNewly Built,4 beds5 baths5 Toilets
Off Banana Island Road Old Ikoyi Ikoyi Lagos,"14,000,000/year","  Updated 18 Feb 2023, Added 15 Dec 2022 "," FOR RENT: Spacious 3 bedroom flat with a bq Off Bourdillon Road, Ikoyi Price: 14M.. Read more ",Serviced,3 beds4 baths4 Toilets
Osapa London Lekki Lagos,"7,500,000/year","  Updated 18 Feb 2023, Added 13 Dec 2022 ", FOR RENT: FURNISHED 4-BEDROOM TERRACE DUPLEX FOR RENT Price: 7.5m per annum Other C.. Read more ,ServicedNewly Built,4 beds5 baths5 Toilets
Chevron Lekki Lagos,"3,000,000/year","  Updated 18 Feb 2023, Added 12 Jan 2023 "," FOR RENT: 2 BEDROOM APARTMENT FOR RENT !!! Location: Second Toll Gate, Lagos Price: 3m.. Read more ",ServicedNewly Built,2 beds3 baths3 Toilets
"Ikate Elegushi, Lekki Lagos Ikate Lekki Lagos","6,000,000/year","  Updated 18 Feb 2023, Added 13 Feb 2023 "," FOR RENT: FURNISHED 3BEDROOM APARTMENT WITHIN A SERENENEIGHBORHOOD!!! Location: Ikate, .. Read more ",FurnishedServiced,3 beds3 baths4 Toilets
Agungi Lekki Lagos,"3,000,000/year","  Updated 18 Feb 2023, Added 03 Feb 2023 "," FOR RENT: FOR RENT !!! 2-BEDROOM PENTHOUSE APARTMENT FOR RENT !!! Location: AGUNGI, L.. Read more ",Serviced,2 beds3 baths3 Toilets
Ikoyi Lagos,"30,000,000/year","  Updated 18 Feb 2023, Added 07 Feb 2023 ", FOR RENT: FURNISHED 4 BEDROOM APARTMENT IN IKOYI FOR RENT Location: IKOYI Fully furnis.. Read more ,FurnishedNewly Built,4 beds5 baths5 Toilets
Chevron Lekki Lagos,"3,750,000/year","  Updated 18 Feb 2023, Added 06 Feb 2023 "," FOR RENT: FOR RENT !!! 3 BEDROOM APARTMENT Location: Chevron , Lagos Price: N3,750,0.. Read more ",Serviced,3 beds4 baths4 Toilets
Ikate Lekki Lagos,"3,500,000/year","  Updated 18 Feb 2023, Added 26 Jan 2023 "," FOR RENT: Luxury Apartments for Rent Studio Apartment 1 Bed, 1 Bath Ikate, Lekki, L.. Read more ",ServicedNewly Built,1 beds2 baths2 Toilets
Thera Peace Zone Estate Sangotedo Ajah Lagos,"2,000,000/year",  Added 17 Feb 2023 , FOR RENT: Available Now! SARAH'S PARADISE APARTMENT Impeccable Brand New 2 Bedroom Fu.. Read more,FurnishedServicedNewly Built,2 beds2 baths3 Toilets
"Millenium Estate, Gbagada Lagos","2,500,000/year","  Updated 18 Feb 2023, Added 16 Feb 2023 ", FOR RENT: DECENT & SPACIOUS 2 BEDROOM FLAT FEATURES: UPSTAIRS BOTH ROOMS EN-SUITE BE.. Read more ,,2 beds3 baths3 Toilets
Lekki Lagos,"6,500,000/year","  Updated 18 Feb 2023, Added 12 Jan 2023 "," FOR RENT: 3 Bedroom Maisonette for Rent 3 Bed, 3 Baths Lekki Phase 1, Lagos 6,500,0.. Read more ",ServicedNewly Built,3 beds4 baths4 Toilets
Lekki Phase 1 Lekki Lagos,"6,000,000/year","  Updated 18 Feb 2023, Added 11 Jan 2023 "," FOR RENT: 3 Bedroom Apartment for Rent — 3 Bed, 3 Baths Lekki Phase 1, Lekki, Lagos .. Read more ",Serviced,3 beds4 baths4 Toilets
Victoria Island Lagos,"8,000,000/year","  Updated 18 Feb 2023, Added 07 Feb 2023 ", FOR RENT: 2 BEDROOM Apartment 8m CAUTION: 500k LEGAL: 10% AGENCY: 10% SERVICE CHARG.. Read more ,ServicedNewly Built,2 beds3 baths3 Toilets
Lekki Phase1 Right Hand Side Lekki Phase 1 Lekki Lagos,"14,500,000/year","  Updated 18 Feb 2023, Added 14 Feb 2023 "," FOR RENT: FURNISHED 4BEDROOM SEMI DETACHED DUPLEX WITHIN A ESTATE Location: Ikate, Lekki .. Read more ",Serviced,4 beds4 baths5 Toilets
Lekki Phase 1 Lekki Phase 1 Lekki Lagos,"1,600,000/year",  Added 17 Feb 2023 , FOR RENT: A room in a shared apartment in Lekki phase1 available for rent Note you shari.. Read more ,,1 beds1 baths1 Toilets
Lekki Phase 1 Lekki Phase 1 Lekki Lagos,"1,200,000",  Added 17 Feb 2023 , FOR RENT: A room in a shared apartment now available for rent Rent 1.2m Sc 250k Caut.. Read more ,Serviced,1 beds1 baths1 Toilets
Alpha Beach Estate Lekki Phase 2 Lekki Lagos,"3,500,000/year","  Updated 17 Feb 2023, Added 14 Feb 2023 ", FOR RENT: Semi Direct 3 bedroom flat upstairs. Rent...3.5 m slightly negotiable Agent..10.. Read more ,ServicedNewly Built,3 beds4 baths4 Toilets
Elf Lekki Phase 1 Lekki Lagos,"1,800,000","  Updated 17 Feb 2023, Added 17 Feb 2023 ", FOR RENT: A room in a shared apartment now available for rent Rent 1.8m Sc 250k Lega.. Read more ,Serviced,3 beds3 baths3 Toilets
Ikota Lekki Lagos,"75,000,000","  Updated 19 Feb 2023, Added 12 Jan 2023 "," FOR SALE: 4bedroom Semi detached duplex with a bq Location: Signature Luxury Estate, Ik.. Read more",Newly Built,4 beds4 baths5 Toilets
Ikate Lekki Lagos,"5,000,000",  Added 17 Feb 2023 ," FOR RENT: 2 BEDROOM APARTMENT FOR RENT !!! Location: Ikate , Lagos?????? Price: 5m per.. Read more ",ServicedNewly Built,2 beds2 baths3 Toilets
Banana Island Ikoyi Lagos,"14,000,000",  Added 17 Feb 2023 ," FOR RENT: 3 BEDROOM PENTHOUSE FOR RENT!!! Location: Banana Island, Lagos?????? Rent: 1.. Read more ",ServicedNewly Built,3 beds3 baths4 Toilets
Agungi/ Bera Estate Chevron Chevron Lekki Lagos,"4,500,000",  Added 17 Feb 2023 ," FOR RENT: 3 BEDROOM SEMI DETACHED DUPLEX FOR RENT!!! Location: Agungi , Lagos?????? R.. Read more ",ServicedNewly Built,3 beds3 baths4 Toilets
Chevron Lekki Lagos,"6,000,000",  Added 17 Feb 2023 ," FOR RENT: FOR RENT?? NICELY BUILT 4 BEDROOM TERRACE DUPLEX Location: Chevron,lekki, .. Read more ",ServicedNewly Built,4 beds4 baths5 Toilets
Lekki Phase 1 Lekki Lagos,"7,000,000",  Added 17 Feb 2023 , FOR RENT: FOR RENT?? Beautifully built and Spacious 4 bedroom duplex with lovely featur.. Read more ,ServicedNewly Built,4 beds4 baths5 Toilets
Banana Island Ikoyi Lagos,"13,000,000",  Added 17 Feb 2023 , FOR RENT: FOR RENT?? 2 BEDROOM LUXURY APARTMENT UP FOR GRABS! Location: Banana Islan.. Read more ,ServicedNewly Built,2 beds2 baths3 Toilets
Ikate Lekki Lagos,"6,500,000",  Added 17 Feb 2023 , FOR RENT: Beautifully built 4 Bedroom Terrace Duplex in a secured environment Location:.. Read more ,ServicedNewly Built,4 beds4 baths5 Toilets
Chevron Toll Gate Chevron Lekki Lagos,"3,200,000",  Added 17 Feb 2023 ," FOR RENT: Luxury 2 Bedroom Apartment For Rent?? Location: Orchid road, Lekki Rent: N.. Read more ",ServicedNewly Built,2 beds2 baths3 Toilets
Agungi Lekki Lagos,"3,000,000",  Added 17 Feb 2023 ," FOR RENT: 2 Bedroom Apartment for Rent?? ?? Agungi, Lekki ?? N3 Million Other ch.. Read more ",ServicedNewly Built,2 beds2 baths3 Toilets
Ikate Lekki Lagos,"7,000,000/year",  Added 16 Feb 2023 ," FOR RENT: 3 Bedroom Apartment for Rent 3 Bed, 3 Baths Ikate, Lekki, Lagos ikate , La.. Read more ",ServicedNewly Built,3 beds3 baths4 Toilets
Banana Island Ikoyi Lagos,"20,000,000/year",  Added 16 Feb 2023 ," FOR RENT: 3 BEDROOM APARTMENT FOR RENT Location: Banana Island, Lagos Price: 20 m per.. Read more ",ServicedNewly Built,3 beds3 baths4 Toilets
Parkview Estate Ikoyi Lagos,"10,000,000/year","  Updated 19 Feb 2023, Added 08 Feb 2023 ", FOR RENT: FOR RENT: Nicely Finished & Serviced 3 Bedroom Terrace House with Boy's Quarter .. Read more,Serviced,3 beds3 baths4 Toilets
Banana Island Road Banana Island Ikoyi Lagos,"12,000,000/year",  Added 16 Feb 2023 ," FOR RENT: 3 BEDROOM APARTMENT FOR RENT Location: Ikoyi, Lagos Price: 12 m per annum .. Read more ",ServicedNewly Built,3 beds3 baths4 Toilets
Ojulari Crescent Ikate Ikate Lekki Lagos,"6,000,000/year",  Added 16 Feb 2023 , FOR RENT: Exquisitely Built and Classy Furnished 2 bedroom Flat 24 hours Power S.. Read more ,FurnishedNewly Built,0 beds0 baths0 Toilets
"Oba Saheed Elegushi Street, Off Freedom Way. Lekki Phase 1 Lekki Phase 1 Lekki Lagos","195,000/month","  Updated 16 Feb 2023, Added 18 Jan 2023 "," FOR RENT: A co-shared 3 bedroom apartment in Prim Water Estate, Gardens 2 Lekki with all e.. Read more ",FurnishedServiced,3 beds2 baths3 Toilets
Ikate Lekki Lagos,"7,000,000/year","  Updated 16 Feb 2023, Added 04 Feb 2023 "," FOR RENT: Beautifully built and Spacious 4 bedroom duplex with fitted kitchen, all rooms e.. Read more ",ServicedNewly Built,4 beds4 baths5 Toilets
Ikate Lekki Lagos,"8,500,000/year","  Updated 16 Feb 2023, Added 24 Jan 2023 "," FOR RENT: 4 Bedroom Semi-Detached Duplex for Rent 4 Bed, 4 Baths Ikate, Lekki, Lagos .. Read more ",FurnishedServicedNewly Built,4 beds4 baths5 Toilets
Lekki Lagos,"10,000,000/year","  Updated 16 Feb 2023, Added 26 Jan 2023 "," FOR RENT: 4 Bedroom Terrace Duplex for Rent 4 Bedroom, 4 Baths Lekki Phase 1, Lagos .. Read more ",ServicedNewly Built,4 beds4 baths5 Toilets
Chevron Lekki Lagos,"7,000,000/year","  Updated 16 Feb 2023, Added 26 Jan 2023 "," FOR RENT: 5 Bedroom, 5 Baths Orchid, Lekki, Lagos 7,000,000 Other charges: Agency:.. Read more ",ServicedNewly Built,5 beds5 baths6 Toilets
Ikate Lekki Lagos,"9,000,000/year","  Updated 16 Feb 2023, Added 04 Feb 2023 "," FOR RENT: 4 BEDROOM SEMI DETACHED DUPLEX FOR RENT ( Back House ) Location: Ikate, Lagos.. Read more ",,4 beds4 baths5 Toilets
Chevron Lekki Lagos,"6,000,000/year","  Updated 16 Feb 2023, Added 04 Feb 2023 "," FOR RENT: 4 BEDROOM TERRACE DUPLEX FOR RENT Location: Chevron, Lagos Price: 6M / Annum.. Read more ",Newly Built,4 beds4 baths5 Toilets
Lekki County Homes Ikota Lekki Lagos,"220,000,000","  Updated 19 Feb 2023, Added 14 Dec 2022 "," FOR SALE: 5 BEDROOM FULLY DETACHED HOME FOR SALE!!! Location: Lekki County, Lagos Fe.. Read more",Newly Built,5 beds5 baths5 Toilets
Lekki Lagos,"8,000,000","  Updated 16 Feb 2023, Added 04 Feb 2023 "," FOR RENT: 4 BEDROOM semi detached dupleX Location: Lekki Phase 1, Lagos Rent: 8M / An.. Read more ",,4 beds4 baths5 Toilets
Lekki County Westend Estate Ikota Lekki Lagos,"700,000/year",  Added 15 Feb 2023 , FOR RENT: Downstairs 700k Agency 70k Agreement 70k Caution fee 150k Service charge 250.. Read more ,Serviced,4 beds4 baths5 Toilets
"Bera Estate ,chevron Chevron Lekki Lagos","5,000,000/year",  Added 15 Feb 2023 , FOR RENT: VERY SPACIOUS 5 BEDROOM DUPLEX WITH BQ IN A NICE ESTATE THE ESTATE HAS VERY .. Read more ,,5 beds5 baths6 Toilets
Lekki Lagos,"12,000,000/year","  Updated 15 Feb 2023, Added 06 Feb 2023 "," FOR RENT: 4 BEDROOM SEMI DETACHED DUPLEX FOR RENT!!! Location: Lekki Phase 1, Lagos Re.. Read more ",ServicedNewly Built,4 beds4 baths5 Toilets
Lekki Lagos,"6,500,000/year","  Updated 15 Feb 2023, Added 07 Feb 2023 "," FOR RENT: 4 BEDROOM SEMI-DETACHED DUPLEX FOR RENT !!! Location: Chevron, Lagos Price: .. Read more ",ServicedNewly Built,4 beds4 baths5 Toilets
Ikota Lekki Lagos,"6,500,000","  Updated 15 Feb 2023, Added 04 Feb 2023 "," FOR RENT: 4 Bedroom Detached Duplex for Rent 5 Bed, 5 Baths Ikota, Lekki, Lagos Ren.. Read more ",Newly Built,4 beds4 baths5 Toilets
Chevron Lekki Lagos,"7,000,000/year","  Updated 15 Feb 2023, Added 17 Dec 2022 "," FOR RENT: Newly built and Spacious 5 bedroom fully detached duplex with BQ,Bluetooth speak.. Read more ",ServicedNewly Built,5 beds5 baths6 Toilets
Ikate Lekki Lagos,"7,000,000/year","  Updated 15 Feb 2023, Added 07 Feb 2023 "," FOR RENT: Luxury Apartments for Rent Studio Apartment 1 Bed, 1 Bath • Ikate, Lekki.. Read more ",ServicedNewly Built,3 beds3 baths4 Toilets
Chevron Lekki Lagos,"4,000,000/year","  Updated 15 Feb 2023, Added 10 Feb 2023 "," FOR RENT: 4 BEDROOM SEMI DETACHED DUPLEX FOR RENT!!! Location: Orchid, Lekki, Lagos R.. Read more ",ServicedNewly Built,4 beds4 baths5 Toilets
Orchid Road Chevron Lekki Lagos,"4,500,000/year","  Updated 15 Feb 2023, Added 30 Dec 2022 ", FOR RENT: A beautiful 4bedroom Terrace in orchid going for 4.5M.. Read more ,Newly Built,4 beds4 baths5 Toilets
Banana Island Ikoyi Banana Island Ikoyi Lagos,"20,000,000/year","  Updated 15 Feb 2023, Added 28 Dec 2022 ", FOR RENT: We have a newly renovated 4 bedrooms terrace duplex with 2 rooms bq with pool in.. Read more ,Serviced,4 beds4 baths5 Toilets
Osapa London Lekki Lagos,"4,000,000/year","  Updated 16 Feb 2023, Added 04 Jan 2023 ", FOR RENT: Luxury 4 Bedroom duplex available for rent at Osapa Lekki Lagos. Features: A.. Read more,Newly Built,4 beds4 baths5 Toilets
Osapa London Lekki Lagos,"7,500,000/year","  Updated 15 Feb 2023, Added 15 Dec 2022 ", FOR RENT: Beautiful Built 4 Bedroom Semi Detached Duplex on two floors with an open terra.. Read more ,ServicedNewly Built,4 beds4 baths5 Toilets
Ologolo Lekki Lagos,"8,000,000/year","  Updated 15 Feb 2023, Added 17 Dec 2022 "," FOR RENT: Well-finished and spacious 4 bedroom semi-detached duplex with fitted kitchen,al.. Read more ",ServicedNewly Built,4 beds4 baths5 Toilets
Chevron Lekki Lagos,"6,000,000/year","  Updated 15 Feb 2023, Added 10 Jan 2023 ", FOR RENT: FULLY FURNISHED 4-BEDROOM SEMI- DETACHED DUPLEX FOR RENT!!! Rent: 6m per annu.. Read more ,ServicedNewly Built,4 beds4 baths5 Toilets
Chevron Lekki Lagos,"5,500,000/year","  Updated 15 Feb 2023, Added 14 Dec 2022 "," FOR RENT: *DIRECT LETTING FOR LEASE: 4 Bedroom Semidetached Duplex AngleView estate, .. Read more ",ServicedNewly Built,4 beds4 baths5 Toilets
